last 747, 19/12/2022 18:05:45
first 692, 19/12/2022 18:05:45
last 748, 19/12/2022 18:05:45
first 692, 19/12/2022 18:05:45
last 748, 19/12/2022 18:05:45
first 692, 19/12/2022 18:05:45
last 748, 19/12/2022 18:05:45
first 691, 19/12/2022 18:05:45
last 749, 19/12/2022 18:05:45
first 691, 19/12/2022 18:05:45
last 749, 19/12/2022 18:05:45
first 691, 19/12/2022 18:05:45
last 749, 19/12/2022 18:05:45
first 690, 19/12/2022 18:05:45
last 750, 19/12/2022 18:05:45
cx 720 cy 193, 19/12/2022 18:05:45
 beginning of the function, 19/12/2022 18:05:50
first 692, 19/12/2022 18:05:50
last 708, 19/12/2022 18:05:50
first 689, 19/12/2022 18:05:50
last 711, 19/12/2022 18:05:50
first 686, 19/12/2022 18:05:50
last 714, 19/12/2022 18:05:50
first 685, 19/12/2022 18:05:50
last 715, 19/12/2022 18:05:50
first 683, 19/12/2022 18:05:50
last 717, 19/12/2022 18:05:50
first 682, 19/12/2022 18:05:50
last 718, 19/12/2022 18:05:50
first 680, 19/12/2022 18:05:50
last 720, 19/12/2022 18:05:50
first 679, 19/12/2022 18:05:50
last 721, 19/12/2022 18:05:50
first 678, 19/12/2022 18:05:50
last 722, 19/12/2022 18:05:50
first 677, 19/12/2022 18:05:50
last 723, 19/12/2022 18:05:50
first 676, 19/12/2022 18:05:50
last 724, 19/12/2022 18:05:50
first 676, 19/12/2022 18:05:50
last 724, 19/12/2022 18:05:50
first 675, 19/12/2022 18:05:50
last 725, 19/12/2022 18:05:50
first 674, 19/12/2022 18:05:50
last 726, 19/12/2022 18:05:50
first 674, 19/12/2022 18:05:50
last 726, 19/12/2022 18:05:50
first 673, 19/12/2022 18:05:50
last 727, 19/12/2022 18:05:50
first 672, 19/12/2022 18:05:50
last 728, 19/12/2022 18:05:50
first 672, 19/12/2022 18:05:50
last 728, 19/12/2022 18:05:50
first 672, 19/12/2022 18:05:50
last 728, 19/12/2022 18:05:50
first 671, 19/12/2022 18:05:50
last 729, 19/12/2022 18:05:50
first 671, 19/12/2022 18:05:50
last 729, 19/12/2022 18:05:50
first 671, 19/12/2022 18:05:50
last 729, 19/12/2022 18:05:50
first 670, 19/12/2022 18:05:50
last 730, 19/12/2022 18:05:50
cx 700 cy 193, 19/12/2022 18:05:50
